player_id,salary,season,year,team,salary_cap,team_total_salary,salary_perc,salary_team_rank,salary_team_var,holdout_dummy,sal_cap_perc_increase
battlke01,350000,1990-91,1990,Denver Nuggets,11871000,10335000,0.033865506,11,3.58E+11,0,0.211079372
cookan01,370000,1990-91,1990,Denver Nuggets,11871000,10335000,0.035800677,10,3.58E+11,0,0.211079372
hanzlbi01,510000,1990-91,1990,Denver Nuggets,11871000,10335000,0.04934688,8,3.58E+11,0,0.211079372
laneje01,500000,1990-91,1990,Denver Nuggets,11871000,10335000,0.048379294,9,3.58E+11,0,0.211079372
liberma01,210000,1990-91,1990,Denver Nuggets,11871000,10335000,0.020319303,12,3.58E+11,0,0.211079372
lichtto01,565000,1990-91,1990,Denver Nuggets,11871000,10335000,0.054668602,7,3.58E+11,0,0.211079372
rasmubl01,2185000,1990-91,1990,Denver Nuggets,11871000,10335000,0.211417513,1,3.58E+11,0,0.211079372
wolfjo01,990000,1990-91,1990,Denver Nuggets,11871000,10335000,0.095791001,4,3.58E+11,0,0.211079372
woolror01,805000,1990-91,1990,Denver Nuggets,11871000,10335000,0.077890663,6,3.58E+11,0,0.211079372
aguirma01,1115000,1990-91,1990,Detroit Pistons,11871000,12910000,0.086367157,4,4.43E+11,0,0.211079372
bedfowi01,850000,1990-91,1990,Detroit Pistons,11871000,12910000,0.065840434,8,4.43E+11,0,0.211079372
blankla01,365000,1990-91,1990,Detroit Pistons,11871000,12910000,0.028272657,12,4.43E+11,0,0.211079372
dumarjo01,1035000,1990-91,1990,Detroit Pistons,11871000,12910000,0.080170411,5,4.43E+11,0,0.211079372
edwarja01,935000,1990-91,1990,Detroit Pistons,11871000,12910000,0.072424477,6,4.43E+11,0,0.211079372
hastisc01,450000,1990-91,1990,Detroit Pistons,11871000,12910000,0.0348567,11,4.43E+11,0,0.211079372
hendege01,125000,1990-91,1990,Detroit Pistons,11871000,12910000,0.009682417,14,4.43E+11,0,0.211079372
johnsvi01,1400000,1990-91,1990,Detroit Pistons,11871000,12910000,0.108443067,3,4.43E+11,0,0.211079372
laimbbi01,1510000,1990-91,1990,Detroit Pistons,11871000,12910000,0.116963594,2,4.43E+11,0,0.211079372
longjo01,150000,1990-91,1990,Detroit Pistons,11871000,12910000,0.0116189,13,4.43E+11,0,0.211079372
rodmade01,880000,1990-91,1990,Detroit Pistons,11871000,12910000,0.068164214,7,4.43E+11,0,0.211079372
rollitr01,800000,1990-91,1990,Detroit Pistons,11871000,12910000,0.061967467,9,4.43E+11,0,0.211079372
sallejo01,575000,1990-91,1990,Detroit Pistons,11871000,12910000,0.044539117,10,4.43E+11,0,0.211079372
thomais01,2720000,1990-91,1990,Detroit Pistons,11871000,12910000,0.210689388,1,4.43E+11,0,0.211079372
eliema01,50000,1990-91,1990,Golden State Warriors,11871000,11150000,0.004484305,13,6.06E+11,0,0.211079372
hardati01,500000,1990-91,1990,Golden State Warriors,11871000,11150000,0.044843049,8.5,6.06E+11,0,0.211079372
higgiro01,500000,1990-91,1990,Golden State Warriors,11871000,11150000,0.044843049,8.5,6.06E+11,0,0.211079372
hillty01,1000000,1990-91,1990,Golden State Warriors,11871000,11150000,0.089686099,5,6.06E+11,0,0.211079372
jepsele01,505000,1990-91,1990,Golden State Warriors,11871000,11150000,0.04529148,7,6.06E+11,0,0.211079372
listeal01,1700000,1990-91,1990,Golden State Warriors,11871000,11150000,0.152466368,2,6.06E+11,0,0.211079372
marcisa01,1270000,1990-91,1990,Golden State Warriors,11871000,11150000,0.113901345,3,6.06E+11,0,0.211079372
mokespa01,100000,1990-91,1990,Golden State Warriors,11871000,11150000,0.00896861,12,6.06E+11,0,0.211079372
mullich01,2850000,1990-91,1990,Golden State Warriors,11871000,11150000,0.255605381,1,6.06E+11,0,0.211079372
peterji01,1235000,1990-91,1990,Golden State Warriors,11871000,11150000,0.110762332,4,6.06E+11,0,0.211079372
pritcke01,185000,1990-91,1990,Golden State Warriors,11871000,11150000,0.016591928,11,6.06E+11,0,0.211079372
richmmi01,850000,1990-91,1990,Golden State Warriors,11871000,11150000,0.076233184,6,6.06E+11,0,0.211079372
tolbeto01,405000,1990-91,1990,Golden State Warriors,11871000,11150000,0.03632287,10,6.06E+11,0,0.211079372
bullama01,120000,1990-91,1990,Houston Rockets,11871000,10500000,0.011428571,12.5,7.50E+11,0,0.211079372
caldwad01,275000,1990-91,1990,Houston Rockets,11871000,10500000,0.026190476,9.5,7.50E+11,0,0.211079372
feitlda01,275000,1990-91,1990,Houston Rockets,11871000,10500000,0.026190476,9.5,7.50E+11,0,0.211079372
floydsl01,1400000,1990-91,1990,Houston Rockets,11871000,10500000,0.133333333,3,7.50E+11,0,0.211079372
jamerda01,650000,1990-91,1990,Houston Rockets,11871000,10500000,0.061904762,7,7.50E+11,0,0.211079372
johnsbu01,675000,1990-91,1990,Houston Rockets,11871000,10500000,0.064285714,6,7.50E+11,0,0.211079372
maxweve01,250000,1990-91,1990,Houston Rockets,11871000,10500000,0.023809524,11,7.50E+11,0,0.211079372
olajuha01,3175000,1990-91,1990,Houston Rockets,11871000,10500000,0.302380952,1,7.50E+11,0,0.211079372
