"player_id","salary","season","year","team","salary_cap","team_total_salary","salary_perc","salary_team_rank","salary_team_var","holdout_dummy","sal_cap_perc_increase","player_year","cpa_one","cpa_two","cpa_three","cpa_four","cpa_five","cpa_six","top_player","top_two_player","top_three_player","starting_five"
"mccraro01",985000,"1990-91",1990,"Dallas Mavericks",11871000,11693000,0.084238433,6,3.19e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"shaskjo01",150000,"1990-91",1990,"Dallas Mavericks",11871000,11693000,0.012828188,12,3.19e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"tarplro01",765000,"1990-91",1990,"Dallas Mavericks",11871000,11693000,0.065423758,8,3.19e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"upshake01",30000,"1990-91",1990,"Dallas Mavericks",11871000,11693000,0.002565638,14,3.19e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"whitera01",730000,"1990-91",1990,"Dallas Mavericks",11871000,11693000,0.062430514,9,3.19e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"willihe01",1000000,"1990-91",1990,"Dallas Mavericks",11871000,11693000,0.085521252,5,3.19e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"abdulma02",1660000,"1990-91",1990,"Denver Nuggets",11871000,10335000,0.160619255,2,3.58e+11,0,0.211079372,1,1,0,0,0,0,0,0,1,1,1
"adamsmi01",825000,"1990-91",1990,"Denver Nuggets",11871000,10335000,0.079825835,5,3.58e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"andergr01",1365000,"1990-91",1990,"Denver Nuggets",11871000,10335000,0.132075472,3,3.58e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,1,1
"battlke01",350000,"1990-91",1990,"Denver Nuggets",11871000,10335000,0.033865506,11,3.58e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"cookan01",370000,"1990-91",1990,"Denver Nuggets",11871000,10335000,0.035800677,10,3.58e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"hanzlbi01",510000,"1990-91",1990,"Denver Nuggets",11871000,10335000,0.04934688,8,3.58e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"laneje01",500000,"1990-91",1990,"Denver Nuggets",11871000,10335000,0.048379294,9,3.58e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"liberma01",210000,"1990-91",1990,"Denver Nuggets",11871000,10335000,0.020319303,12,3.58e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"lichtto01",565000,"1990-91",1990,"Denver Nuggets",11871000,10335000,0.054668602,7,3.58e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"rasmubl01",2185000,"1990-91",1990,"Denver Nuggets",11871000,10335000,0.211417513,1,3.58e+11,0,0.211079372,1,1,0,0,0,0,0,1,1,1,1
"wolfjo01",990000,"1990-91",1990,"Denver Nuggets",11871000,10335000,0.095791001,4,3.58e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"woolror01",805000,"1990-91",1990,"Denver Nuggets",11871000,10335000,0.077890663,6,3.58e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
"aguirma01",1115000,"1990-91",1990,"Detroit Pistons",11871000,12910000,0.086367157,4,4.43e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,1
"bedfowi01",850000,"1990-91",1990,"Detroit Pistons",11871000,12910000,0.065840434,8,4.43e+11,0,0.211079372,1,1,0,0,0,0,0,0,0,0,0
